Index,Tickets Key,Resolution Date
353,STDCXX-490,2007-12
354,STDCXX-663,2007-12
355,STDCXX-650,2007-12
356,STDCXX-553,2007-12
357,STDCXX-676,2007-12
358,STDCXX-664,2007-12
359,STDCXX-614,2007-12
360,STDCXX-585,2007-12
361,STDCXX-226,2007-12
362,STDCXX-666,2007-12
363,STDCXX-250,2007-12
364,STDCXX-524,2007-12
365,STDCXX-604,2007-12
366,STDCXX-603,2007-12
367,STDCXX-673,2007-12
368,STDCXX-240,2008-1
369,STDCXX-195,2008-1
370,STDCXX-443,2008-1
371,STDCXX-518,2008-1
372,STDCXX-605,2008-1
373,STDCXX-577,2008-1
374,STDCXX-626,2008-1
375,STDCXX-704,2008-1
376,STDCXX-703,2008-1
377,STDCXX-712,2008-1
378,STDCXX-627,2008-1
379,STDCXX-705,2008-2
380,STDCXX-231,2008-2
381,STDCXX-698,2008-2
382,STDCXX-321,2008-2
383,STDCXX-645,2008-2
384,STDCXX-548,2008-2
385,STDCXX-375,2008-2
386,STDCXX-720,2008-2
387,STDCXX-713,2008-2
388,STDCXX-687,2008-2
389,STDCXX-308,2008-2
390,STDCXX-699,2008-2
391,STDCXX-249,2008-2
392,STDCXX-216,2008-2
393,STDCXX-735,2008-2
394,STDCXX-736,2008-2
395,STDCXX-414,2008-2
396,STDCXX-733,2008-2
397,STDCXX-737,2008-2
398,STDCXX-738,2008-2
399,STDCXX-631,2008-2
400,STDCXX-507,2008-2
401,STDCXX-665,2008-3
402,STDCXX-625,2008-3
403,STDCXX-435,2008-3
404,STDCXX-333,2008-3
405,STDCXX-752,2008-3
406,STDCXX-2,2008-3
407,STDCXX-702,2008-3
408,STDCXX-730,2008-3
409,STDCXX-763,2008-3
410,STDCXX-646,2008-3
411,STDCXX-711,2008-3
412,STDCXX-635,2008-3
413,STDCXX-636,2008-3
414,STDCXX-647,2008-3
415,STDCXX-770,2008-3
416,STDCXX-438,2008-3
417,STDCXX-648,2008-3
418,STDCXX-328,2008-3
419,STDCXX-765,2008-3
420,STDCXX-289,2008-3
421,STDCXX-281,2008-3
422,STDCXX-766,2008-3
423,STDCXX-789,2008-3
424,STDCXX-750,2008-3
425,STDCXX-768,2008-3
426,STDCXX-790,2008-3
427,STDCXX-748,2008-3
428,STDCXX-792,2008-3
429,STDCXX-795,2008-3
430,STDCXX-615,2008-3
431,STDCXX-784,2008-3
432,STDCXX-714,2008-3
433,STDCXX-628,2008-3
434,STDCXX-644,2008-3
435,STDCXX-798,2008-3
436,STDCXX-98,2008-3
437,STDCXX-809,2008-3
438,STDCXX-624,2008-3
439,STDCXX-715,2008-3
440,STDCXX-803,2008-3
441,STDCXX-814,2008-3
442,STDCXX-709,2008-3
443,STDCXX-804,2008-4
444,STDCXX-818,2008-4
445,STDCXX-742,2008-4
446,STDCXX-708,2008-4
447,STDCXX-740,2008-4
448,STDCXX-799,2008-4
449,STDCXX-812,2008-4
450,STDCXX-824,2008-4
451,STDCXX-638,2008-4
452,STDCXX-660,2008-4
453,STDCXX-755,2008-4
454,STDCXX-761,2008-4
455,STDCXX-811,2008-4
456,STDCXX-697,2008-4
457,STDCXX-827,2008-4
458,STDCXX-830,2008-4
459,STDCXX-716,2008-4
460,STDCXX-608,2008-4
461,STDCXX-831,2008-4
462,STDCXX-832,2008-4
463,STDCXX-546,2008-4
464,STDCXX-843,2008-4
465,STDCXX-458,2008-4
466,STDCXX-749,2008-4
467,STDCXX-849,2008-4
468,STDCXX-774,2008-4
469,STDCXX-751,2008-4
470,STDCXX-783,2008-4
471,STDCXX-779,2008-4
472,STDCXX-854,2008-4
473,STDCXX-862,2008-4
474,STDCXX-858,2008-4
475,STDCXX-873,2008-4
476,STDCXX-874,2008-4
477,STDCXX-868,2008-4
478,STDCXX-727,2008-4
479,STDCXX-870,2008-4
480,STDCXX-867,2008-4
481,STDCXX-865,2008-4
482,STDCXX-886,2008-4
483,STDCXX-753,2008-4
484,STDCXX-756,2008-4
485,STDCXX-890,2008-4
486,STDCXX-759,2008-4
487,STDCXX-760,2008-4
488,STDCXX-762,2008-4
489,STDCXX-880,2008-4
490,STDCXX-879,2008-4
491,STDCXX-700,2008-4
492,STDCXX-729,2008-4
493,STDCXX-747,2008-4
494,STDCXX-745,2008-4
495,STDCXX-746,2008-4
496,STDCXX-841,2008-4
497,STDCXX-757,2008-4
498,STDCXX-775,2008-4
499,STDCXX-527,2008-4
500,STDCXX-869,2008-5
501,STDCXX-842,2008-5
502,STDCXX-903,2008-5
503,STDCXX-908,2008-5
504,STDCXX-910,2008-5
505,STDCXX-911,2008-5
506,STDCXX-299,2008-5
507,STDCXX-906,2008-5
508,STDCXX-913,2008-5
509,STDCXX-915,2008-5
510,STDCXX-885,2008-5
511,STDCXX-884,2008-5
512,STDCXX-883,2008-5
513,STDCXX-882,2008-5
514,STDCXX-881,2008-5
515,STDCXX-929,2008-5
516,STDCXX-897,2008-5
517,STDCXX-682,2008-5
518,STDCXX-75,2008-5
519,STDCXX-937,2008-5
520,STDCXX-938,2008-5
